title,description
Turkcell Tyg Adı Altında Faturaya Ücret Yansıtıyor,"“Anında ilgilenmek, memnuniyetimiz çok iyi ki çok eski Turkcell liyiz
Tşklerimle”"
Turkcell Cihaz Satış Bedeli Aylık Ücreti,“Teşekkürler çözüm için.”
Turkcell Borcum Yokken Borç Çıkarıyor Ne Olduğunu Oda Bilmiyor,“Teşekkürler Turkcell sorunum sonunda çözüldü”
Turkcell Anonim Şirketi Limited,“Son derece kibar ve sabırlı bir şekilde sorunumun çözümünde yardımcı olan müşteri temsilcisine çok teşekkür ederim.”
Turkcell Gnç Uygulamasına Giriş Yapamıyorum,"“Sorunum çözüldü, teşekkürler”"
Turkcell’in Haksız Servis Ücreti,“Çözüm desteğiniz için teşekkürler”
Turkcell Geçiş Sürecinde Yaşadığım Sorunlar,“Turkcell'e teşekkür ediyorum anında hızlı bir şekilde mağduriyetimi giderdiler”
Turkcell Habersiz Alınan Abonelik Ücretleri,“Teşekkürler keşke buraya yazmadan çözüm bulsalardı ama yinede bunda şükür para iade yapıldı”
Turkcell Mağduriyetleri Devam Ediyor,“Sorunum çözüldü”
Turkcell Yurt Dışı Ücret,“Sorunum çözüldü. Ücret iadesi yapıldı. İlginize ve desteğinize teşekkür ederim.”
Turkcell Taleplere Dönüş Yapılmıyor,“Şikayet var a ve Turkcell e teşekkür ederim sorunu 24 saatte çözdüler”
Turkcell İzinsiz Abonelik Ücreti Ve Faturaya Eklenen Ekstra Maliyet,“Çok kısa bir sürede çözüme ulaştırıldı. Arayıp bilgide verildi para iadesini de yaptılar. Hızlı çözüm için teşekkürler.”
Turkcell Fireplay Games Ödemesinin İptali Talebi,“Kısa sürede dönüş yapıldı çözüme kavuşturuldu teşekkür ederim”
Turkcell Yurt Dışı Kullanım Ücreti İade Talebi Hk.,“İlgi ve alakanız için çok teşekkür ederim.”
Turkcell Hattı Kapatma Ve Fatura Sorunları,“Turkcell çok hızlı bir şekilde şikayeti çözdü. Teşekkürler...”
Turkcell Sinyal Ve Bağlantı Sorunu,“Teşekkürler”
Turkcell Yurt Dışında İnternet Kullanımı,“Sorun ilgililer tarafından çözüldü. Teşekkürler...”
Turkcell Faturalı İstemeden Geçmesi,“Teşekkürler”
Turkcell Haksız Roaming Ücreti,"“Yarım saat içinde bilgi verilmesi ve çözüme ulaşılması beni çok memnun etti.
 Teşekkür ederim tüm ilgilenenlere.”"
Turkcell'den Fahiş Fiyat Artışları,“Sorunumu çözen arkadaşlara gönülden teşekkürler. Markayı değiştirmeyi asla düşünmüyorum. Online olarak çalışan biri olarak beni Türkiye'nin hiçbir yerinden mağdur etmediler.”
Turkcell Paycell Paket Satışı İade Talebi,“Emekleriniz için teşekkür”
Turkcell Mobil İmza Şifre,“Şikayete hızlı ve etkili bir şekilde yanıt verdiğiniz için teşekkür ederim. Keşke 130 defa aramadan ve 10 defa bayiye gitmeden çözebilseydiniz. Bu kadar uğraştırdıktan sonra bir manası kalmadı ama en azından bir çözüm buldunuz.”
Turkcell Onayım Olmadan Paket Tanımlıyor,“Sorunum çözüldü Turkcell çalışanlarına ilgi ve hızlı çözümleri için teşekkür ederim 🙏”
Turkcell Superonline Hizmet Kesintisi Ve Yetersiz Müşteri Desteği,“İlginize Teşekkür ederim.”
Turkcell Yanlış Ödeme Ve İptal Sorunu,“Tekrar teşekkürler sorun çözüldü”
Turkcell İade Ödemeleri Hakkında Bilgi Ve Talep,“Para iadesi oldu. Turkcell'e yardımlarından dolayı teşekkür ederim”
Turkcell Faturalı İnternet Paketinde Anormal Kullanım Ve Hatalı Fatura,“Talebim doğrultusunda bir gün olmadan çözüme ulaştım teşekkür ederim”
Turkcell Vaat Ettiği İnternet Hızlarını Kesinlikle Vermiyor,“İlgi ve anlayışı için Turkcell e çok teşekkür ediyorum. Sorunum çözüldü.”
Turkcell Bize Zorla Paket Dayatması Yapıyor!,"“Sorunum halledildi, teşekkür ederim”"
Turkcell Akıllı Çocuk Saati Tarifeler Ve Çalışmaması.,“Çözüm ekibi müşteri temsilcisine ilgili tutum ve davranışı için teşekkür ederim.”
Turkcell Onaysız Ve Haksız Telefon Faturası,"“Süreç uzasa da, müşteri temsilcisi inatla çözüm sunamasa da, birçok mesaj ve telefon sonrası çözülemese de şikeyetvar'a yazınca çözüldü sorun. Teşekkürler...”"
Turkcell Faturalı Hat Hatası,“Şebnem hanıma teşekkür ediyorum ilgisinden dolayı 🌸”
Turkcell Hat Açma Kapama Ücreti Yansıtılmış!,“Sorunumu kısa sürede çözdüğünüz için teşekkür ederim.”
Turkcell Paycell Habersiz Para Çekiyor,“Teşekkürler ücret iadesi yapıldı”
Turkcell Superbox Kendi Kendine İnternet Tüketiyor!,“Firmanın ilgi ve alakası için teşekkür ederim”
Turkcell Haksız Yere Çıkarılan Toplu Telsiz Kullanım Ücreti Borcu!,"“Konu hakkında detaylı bilgilendirme yapıldı, yanlış anladığım için açtığım şikayettir, dikkate almayınız. Teşekkür ederim.”"
Turkcell Hattım Olmamasına Rağmen Haciz Mesajı,“Gerekli hassasiyetimi anladığınız ve bilgilendirdiğiniz için teşekkürler.”
Turkcell Sosyal Destek İndirimini Yapmıyor!,“Hemen ertesi gün arandım ve talebim sonuçlandı. Teşekkürler”
Turkcell Aşırı Yükselen Tarife Fiyatları,“Teşekkürler Yine Beni Yanıltmadınız Gereken Düzenleme Yapıldı. İyi Çalışmalar Dilerim.”
Turkcell Faturama İlave Edilen Tutar,“Teşekkürler”
Turkcell Bilgim Dışında Açılan Hat,“Teşekkürler”
Turkcell Abonelik İptali Konusunda Yardımcı Olmuyor,"“Turkcell bir kez daha kurumsal firma olduğunu gösterdi ve müşteri mağduriyetine izin vermedi. Ücret iade edildi, teşekkürler Turkcell”"
Turkcell Superbox Yanlış Tanımlanan Numara,“Sorunum çözülmüştür. Teşekkürler”
Turkcell Numara Taşıma Şebeke Sorunu,“Sorunun çözümü için teşekkürler”
Turkcell Bilgim Dahilinde Olmadan Fizy Paketi Tanımlamış.,“Teşekkürler iletişime geçip sorunumuzu çözdüğünüz için.”
Turkcell Kişi Onayı Olmadan Yapılan İşlem,“Sorunumuzu hemen çözdüler. Ben kendilerini aradığımda çözmelerini isterdim. Siz yardımcı olmasaydınız sorunumuz çözülmeyecekti. Teşekkürüm Şikayetvar sitesine”
Turkcell Yanlış Bilgilendirme Ve Yaratılan Maddi Zarar,“Ertesi gün arayıp sorunumu çözdüler ama şu paketlere açıklama ekleyin de böyle mağduriyet yaşamayalım yeter. Teşekkürler...”
Turkcell Kişisel E-posta Adresimi Başka Müşterilerinde Kullanıyor,“Turkcell doğrulama koduna harf girişi klavye hatası olduğu için erişim sağlayamıyordum bilgilendirmem neticesinde sorunum çözüldü emeği geçenlere teşekkür ederim.”
Turkcell Ve Allinmobi Bilgim Dışında Çekilen Tutar,“Teşekkürler sorunum çözüldü”
Turkcell Faturayı Düzenle Artık!,“Çok kısa sürede detaylı açıklama yaparak sorunumu çözüme ulaştırdı teşekkürler”
Turkcell Yurt Dışında Olmadığım Halde Yurt Dışı Tarifesi Sorunu,“Sorunum çözüldü. Ancak bu kadar uzun sürmeden çözülebilirdi. Teşekkürler...”
Turkcell Borcumu Ödemek İstiyorum,“İade edince teşekkür ederiz.”
Quiz Champ Ve Turkcell Haksız Kazanç Elde Ediyorlar,“İlgileri ve çabuk çözümleri için sonsuz teşekkürler”
Turkcell Onaylamadığım Üyeliği Bana Ödetiyor,“Şimdilik sorun çözüldü gibi duruyor. Teşekkürler...”
Turkcell Paycell Ücret Kesintisi İtirazı,“Telefonla arayarak yardımcı oldular para iadesi yapıldı yardımcı olmalarına savendim. Teşekkürler...”
Turkcell Hat Taşıma Sorunu,“Şikayetimin ilk anından itibaren çok hızlı bir geri dönüş aldım. İlgilenen müşteri temsilcisi çok ilgiliydi. Sorunumla çok yakından ilgilenildi ve bana göre olabilecek en iyi geri dönüşü sağladılar. Sorunum çözüldü buradan hem Turkcell'e hem de ilgilenen yetkililere çok teşekkür ediyorum.”
Turkcell Hattı Borç Şikayeti,"“Sorun çözüldü, teşekkürler.”"
Turkcell'e Numara Taşıma Sürecinde Sürekli Hata Mesajı Alıyorum,"“Şikayetimle ilgili hızlıca dönüş sağlandı, çözüm odaklı yaklaşımları nedeniyle teşekkür ederim bu kadar hızlı çözülmesini beklemiyordum.”"
Turkcell Salla Kazan' Daki Yetersizlik,“İlginiz için teşekkürler”
Turkcell Yanlış Fatura Bilgisi Ve İstenmeyen SMS Sorunu,“Teşekkürler”
02162030879 Turkcell'den Aradıklarını Söylediler,“İlginiz için çok teşekkür ederim”
Turkcell Eğlen Cepte Kesintisi İle Alakalı Şikayet,“Turkcell yetkilisi ile görüşme sonucunda bir sonraki ayda fatura tutarından düşüleceği bilgisi verildi. Teşekkürler”
Turkcell Haksız Roaming Ücreti,“Ulaşıp sorunu çözdüler. Teşekkürler”
Turkcell E Yakıştıramadık.! SYS Alacak Nedeniyle.,“Teşekkür ederim Turkcell ve ilgili arkadaşlara...”
Turkcell İnternet Kullanım Saçmalığı,"“İlk adımda yapılabilirliği olduğuna inandığım sembolik çözümün bu mecranın devreye girmesinden sonra gelmesi üzücü! 
Farklı tondan sesimi duyuran Şikayetvar'a teşekkürler...”"
Turkcell Yedek Sim Kart Aktivasyonu Problemi,“Şikayetim çözüldü teşekkür ederim”
Turkcell İzinsiz Kesinti: Kullanmadığım Hizmet İçin Fatura Şikayeti,“İlgilerinden dolayı Turkcell ekibine teşekkür ederim”
Turkcell Askercell Açılmayan Hat,“Teşekkür ederim sorunum 1 saat kadar kısa bir sürede çözüldü. Bayi çalışanı çok içten ve samimiydi.”
Turkcell Numara Taşıma Sorunu,“Marka Şikayetimvar.com sayesinde çözüm ulaştırdı. Teşekkürler...”
Turkcell Numara Kapatılması Süre Dolmadan,"“İlginiz için teşekkür ederim, sorun çözüldü”"
Turkcell'in Sistemlerinde Hata Var,“Sorunumu çözdüğünüz için teşekkür ederiz Turkcell”
Turkcell Gnç Davet Kodu Hatası,“Şikayetim müşteri temsilcisi tarafından çözüme ulaştırıldı teşekkür ediyorum kendisine ve Turkcell'e”
Turkcell Devretme Özellikli Tarife Yalanı,"“Talebim süresi için değerlendirildi, ve gereği yapıldı teşekkür ederim.”"
Turkcell Haksız Fatura Ücreti,“Sorun giderildi. Teşekkürler...”
Turkcell Faturada Fazla Ücret,“Hızlı çözüm için teşekkür ediyorum.”
Turkcell Hat Aktivasyon Sorunu!,“Şikayetten 1 gün sonra aradılar ve sorun çözüldü teşekkürler”
Turkcell Fatura Sürprizi Ve Müşteri Mağduriyeti,"“Yanlış gönderilen ürün ortalama 4 haftalık inceleme iletişim şeklinde Turkcell pasaj ve kafkasada ile geçti, ama gün sonunda yanlış ürünü isteyip doğru ürün sıfır olarak gönderildi, teşekkür ederim.”"
Turkcell'den Şikayetçiyim Haksız Yere Fatura Kesip Ücret Talep Ediyor,“Biraz zor oldu ama halloldu hızlı bir şekilde. Teşekkürler...”
Turkcell Hediye Youtube Premium İptal Edildi Ama Ek Ücret Yansıtıldı,“Çözüm için teşekkürler”
Turkcell Quiz Champ Ücret İadesi Talebi,“İlgi alaka için teşekkür”
Turkcell 0216 Lı No Gelen Sesli Mesaj,“Kamu Mega 16 GB (190 TL) tarifesine geçiş yapmamı sağladığı için Turkcell müşteri hizmetleri çalışanlarına teşekkür ederim.”
Turkcell GNC Yıldız Toplama,“Teşekkürler Sorun Çözüldü”
Turkcell Müşterisine Destek Olmuyor,“Teşekkürler hızlı dönüş”
Turkcell Tyg Yurt Dışı Hat,“Müşteri temsilcisi arkadaşıma teşekkür ediyorum. Çok ilgili ve nazikti. Sorunumu çözdü.”
Turkcell Faturasına Yansıyan Hatalı Kullanım İptali,“İlgileri için teşekkürler.”
Turkcell Yurt Dışında Olmadığım Halde Yurt Dışı Tarifesi Sorunu,“Teknik sorun çözülmüyor hat kapatılıyor yurt dışına.”
Turkcell Hat Kapatma Açma Ücreti,“Firmaya ilgisinden dolayı teşekkür ederim”
Turkcell Kendiliğinden Yapılan İptal Edemediğim Megalife Üyelik,“Sorunu kısa sürede çözdüler çok teşekkürler”
Turkcell Müşterine Saygılı Ol Doğru Ol!,“Anında dönüş yapılıp mağduriyetim giderildi ve kötü muamele adına açıklama yapılıp özür dilendi 🙏🏻. Teşekkürler...”
Turkcell Sözleşme Uzatma Anlaşmazlığı!,“Her şey halloldu teşekkürler”
Turkcell Fatura Haksız Kazanç,“Gereğini yaptığınız için teşekkürler.”
Turkcell Superbox Hizmet Kesintisi Ve Müşteri Memnuniyetsizliği,“Geçte olsa sorun çözüldü teşekkürler”
Turkcell Müşteri Hizmetlerinin Yetersizliği,“Teşekkür”
Turkcell Alacak Yönetimi Hukuka Aykırı Davranışı,“Ne kadar yanlışlık da olsa müşteriyi mağdur etmedikleri için teşekkür ederim.”
Turkcell Superbox Zte Modem Pişmanlık Ve Hizmet Sunmadıkları Halde Cayma Bedeli,“Turkcell den yapılan geri dönüş ile yanlış yönlendirme ile alınan click n Play uygulaması aboneliği ücretlerinin bir aylık kısmı geri ödendi. Yardımları için Turkcell e teşekkür ederim.”
Turkcell Superbox Müşteri Hizmetleri,“Teşekkür ediyorum”
Antalya Aksu'da Turkcell Şebeke Sorunu,“Kısa sürede dönüş yapıp çözdüğünüz için teşekkürler”
Turkcell İsteğimin Dışında Ücret Çıkıyor,“Sorunla ilgilenildi ve düzeltildi. Teşekkürler...”
Turkcell 45 Dakika İçin 30 Günlük Faturalandırma Yaptı,“Çözüm ortaklığı için teşekkür ediyorum”
Turkcell Hak Etmediği Halde Genç Tarife Kullanımı Gerçek Hak Sahibini Engelledi,“Teşekkürler sorunum çözüldü”
Askercell Turkcell Hattında Şebeke Sıkıntısı,“Sorunum çözüldü ve iade yapıldı. Teşekkürler.”
Turkcell Paycell Click N Play Ücreti,“İlgi ve alakanıza çok teşekkür ederim”
Turkcell Htp Click N Play Ücreti Ödedim Ücret İademi İstiyorum,“Teşekkür ederim”
Turkcell Çözülemeyen Şebeke Yok! Sorunu,“Şikayetten 1 dakika sonra hemen cevap verdiler. Teşekkür ederim. Turkcell”
Turkcell Haberim Olmadan Açılan Hat Ve İcra Takibi Şoku,“Hızlı cevaplama için teşekkür ederim. Umarım sorun giderilmiştir. Birkaç gün içinde sonuç belli olacaktır.”
Turkcell Fazla Alınan Paket Ücretinin İade Talebi,"“Hemen ilgilenildi, teşekkürler”"
Turkcell 128k Lik Yedek Sim Kartı Aktif Edilmiyor,“Sorunumun çözümü için verilen bilgi sayesinde BTK ile görüşüp sorunu çözdüm. Teşekkürler...”
Turkcell Cayma Ve Fatura Bedelinin Şişirilmesi,"“3 gün içinde sorun çözüldü, teşekkürler”"
Turkcell Kamu Tarifesine Geçtim Mağdurum,“Sorunum halloldu aradılar teşekkürler”
Turkcell Paketleri Aşırı Pahalı,“Teşekkürler marka arayıp sorunu çözdü”
Turkcell'in Yurtdışı Kullanımında Haksız Fatura Bedeli,“Para iadesi yapılacağı tarafıma iletildi. Ancak fatura ödemesi geldiği gün net olarak anlayabilirim. İade faturaya yansıtılacakmış. Teşekkürler...”
Turkcell Yanlış Çekilen 40.999 TL İçin Acil Geri Ödeme Talebi,"“Bizce ekibine bir daha yapacakları çekilişlerinde "" kadınlar bizce ile kazanacak""sloganını uyguladıklarında teşekkür edeceğim.
Turkcell e ve Şikayetvar sitesine hemen işleme aldıkları ve ilgilendikleri için teşekkür ediyorum bu arada.👍”"
Turkcell Mahmutbey Tekşen İletişim Çalışanların Sorumsuzluğu,“Teşekkürler.”
Turkcell Tarife Değişikliği Yanlış Yönlendirme,“Daha evvelden beni arayan firdevs hanıma TSK etmiştim zaten tekrar değerlendirme yapmaya gerek bulmuyorum sadece ilettiğim taleplerime kontrol ve takip edilsin yeterli bundan sonra ki ileteceğim taleplerimi hassasiyetle karşılasınlar tekrar firdevs hanıma tekrar Teşekkür ederim daha önce aradığı için talebim hakkında esit davransınlar müşterilerine”
Turkcell Yeni Paket Geçiş Sürecinde Yaşanan Mağduriyet,“Müşteri memnuniyeti adına gereğini yaptığınız için teşekkür ederim. İyi çalışmalar.”
Turkcell İade Süreci Saçmalığı,“Kısa sürede tarafıma ulaşıp çözüm sunduğunuz için teşekkürler”
Turkcell Habersiz Yapılan 360VRTUBE Üyeliği,“Şikayetim var uygulamasına çok teşekkür ederim”
Antalya'nın Kaş İlçesinde Turkcell İnternet Problemi Yaşıyorum,“Teşekkür Ederim iyi ki varsınız”
Turkcell Zamlı Fatura Uyguluyor,“Öncelikle Şikayetvar sayfasını yöneten ve kurucularına ve şikayetimde konu olan Fatura tutarını düzelten Turkcell den arayan Erol beye çok teşekkür ederim”
Turkcell Sinyalizasyon Hatasından Türkiye'de Yansıtılan Yurt Dışı Tuta,"“Şikayet talebim olumlu sonuçlanmış, tutar faturamdan düşülmüştür. Teşekkürler...”"
Turkcell Şirket Hattı Alırken Yapılan Bayi Hatasından Dolayı Mağdurum,“Turkcell'e çözüm ürettiği için teşekkür ederim”
Turkcell'de Kendiliğinden İnternetim Azalıyor,“Çok yardımcı oldular emeği geçenler için teşekkür ederim”
Turkcell Düşük Fiyatlı Paket Yapmaması,"“Çözüm odaklı ve nezaketli yaklaşımından dolayı yetkililere teşekkür ediyorum. 

Sevgiler”"
Turkcell Superbox İnternet İptali,“Teşekkürler”
"Turkcell T. C. Kimlik Numaramı Güncelleyemiyorum, Taahhüdümü Yenilemiyorum!",“Teşekkür”
Turkcell Fatura Ücretleri Öğrencileri Zorluyor,“Teşekkür ederim faturam düzeltildi.”
Turkcell Fatura Limiti Ulaşıldığı,“Teşekkür ederim sorunum çözüldü ancak bir gün başka bir kişinin faturalarını almayacağımın garantisini veremiyorlar”
Turkcell Mobil İmza Eziyeti,“Teşekkürler hemen çözdüler”
Türk Telekomluyum Fakat Turkcell Hızlı Giriş Kodu Geliyor,“Teşekkürler”
Turkcell Taahhüt Tarihimi 1 Ay Öne 09.11.2024 E Çekti,“Çok teşekkür ediyorum ilgilenip dönüş yaptıkları için faturamı düzelttikleri için”
Turkcell Hotspot 50 GB Paketi Bitmeden Kullanım Aşımı Yapıyor!,“Çok teşekkür ederim kısa bir süre içerisinde sorunu çözdüler”
Turkcell Yüksek Tutarlı Kesilen Fatura,“Teşekkürler sorun geç de olsa çözüldü”
Turkcell Htp Clicknplay Diye Bir Şey Faturama Para Yansıttı,“Kısa süre içerisinde iletişime geçilip sorunum çözüldü. Teşekkürler...”
Turkcell Yanlışlıkla Başlatılan Spor Üyeliği Ve İptal Zorluğu,“7 günde hattım elime ulaştı. Kendilerini geliştireceklerini bu konuda oluşan şikayetlerin ve geri bildirimlerin önemli olduğunu söylediler. Teşekkürler...”
Turkcell Hat Aktivasyon Sorunu!,“Sorunum çözüldü teşekkürler”
Turkcell Bayii Ve Müşteri Hizmetleri Hatası,"“Geçte olsa bazı şeylerin düzeltilmesi güzel görünüyor 
Teşekkürler”"
Turkcell Taahhüt Bitişi Fahiş Zam,“Arayıp sorunla alakalı işgilendir teşekkür ediyorum”
Turkcell Kamu Tarifesine Geçtim Mağdurum,“Çözüm merkezinden Nazan hanım özelinde Turkcell'e sorunu çözme konusunda gösterdikleri gayret için çok teşekkür ederim. Kalite her zaman kazandırır.”
Turkcell 128k Lik Yedek Sim Kartı Aktif Edilmiyor,“Mobil imza sorunumu çözüldü. Teşekkürler”
Turkcell Faturama Eklenen Haksız Ücretlerin İadesini Talep Ediyorum,"“10 saniyede üye yapıyorlar, ayrılırken günlerce uğraştırıyorlar.”"
Turkcell Geri Ödeme Talep Ediyorum,“Teşekkür”
Turkcell Daha Önce Kullanılan Hattı Sattı Ve Çok Rahatsız Ediliyorum,“Hemen ulaşıp sorunumu hallettiler. Çok teşekkür ederim 🩷”
Turkcell'in Haksız Fatura Artışı Ve Yetersiz Müşteri Temsilcisi,“Merve kardeşime teşekkür ederim”
Turkcell Paketim Aktifleşmedi Yardım,“Sorunun çözümü için teşekkürler”
Turkcell Kurumsal Portföy Yönetimi,“İletişime gecen müşteri hizmetlisi için teşekkürler”
Turkcell H*** H***** Karşı,“Teşekkür ederim”
Turkcell WhatsApp Telegram Hesaplarınızın Ele Geçirilmesi,“🙏. Teşekkürler...”
Turkcell Ödemesini Yaptık Paramızı Nasıl Geri Alacağız,“Sizin sayenizde sorunlarım çözüldü iyi ki varsınız. Teşekkürler...”
Turkcell Super Box Şikayeti,“Adınıza yakışır hızda dönüş yaptınız ve beni aydınlattınız sorunumu giderdiniz. Çok teşekkür ederim.”
Turkcell Htp Click And Play,"“Gerçekten haksızlığı, yanlışı düzeltme için teşekkürler”"
Turkcell E-sim Geçişi Sonrası Çekim Sorunu Ve Müşteri Hizmetleri Yetersizliği,“Teşekkürler.”
"Turkcell İnternet Çekmiyor, Kopuyor Sürekli Donuyor.",“İlgilendiğiniz için teşekkür ederim.”
Turkcell Yedek Sim Sorunu,“Teşekkürler”
Turkcell Finansman Yanlış SMS Gönderimi,"“Şikayetime aynı gün içinde cevap verildi. 
Teşekkürler”"
Turkcell Crif Alacak Tarafından Tanımadığımız Bir Kışı Adına Mesaj Gönderiliyor,“Yanlış kayıt işlemi ile ilgili şikayetim çok hızlı bir şekilde çözüldü. Teşekkür Ederim.”
Turkcell Hediye Youtube Premium İptal Edildi Ama Ek Ücret Yansıtıldı,“Aboneliğim iptali yapıldı Turkcell ekibine teşekkür ederim”
Turkcell Kafasına Göre Fiyat Arttırıyor!,"“Ben 3 hattım için talep yapmıştım ancak Şikayetvar formunda hangi numara için işlem yapılmasını istiyorsunuz diye sorduğu bölümde tek numara girebiliyorsunuz. Yazdığım numaranın faturası, yeni fatura döneminde düzeltildi. Diğer numaralar için de uygulama üzerinden talepte bulunacağım. Keşke aynı şeyleri tekrar yapmam gerekmeseydi çünkü 3 numara için de taahhüt yenileme taleplerimi aynı görüşmede iletmiştim. Sonuçta çözüm olduğu için memnunum teşekkür ederim. Ama bu sistematik bir problem ve biz şikayet etmeden doğru çözüm uygulanmalıydı. Tüketicinin haklarını şikayet etmeden de koruyan bir sisteme geçmenizi isterim. Teşekkür ederim. İyi çalışmalar dilerim.”"
Turkcell Ve Paycell Tarafından Yapılan Habersiz Üyelikler,“Çok teşekkür ediyorum”
Turkcell Modemin Aradığım Performansı Verememesi,“Teşekkürler”
Turkcell' E Hat Devir İşlemimin Durdurulmasını İstiyorum Muhatap Yok!,“Hızlı geri dönüş ve açıklama için teşekkür ederim”
Turkcell Geleceği Yazanlar Web Sitesindeki Sorun!,“Turkcell ve ailesine sorunu çözmek için sarfettiği çaba için teşekkürlerimi iletiyorum.”
Turkcell'in Sistem Hatası,“İlgililiydiniz teşekkürler”
