title,description
Turkcell 1 Saatte 20 GB Selamünaleyküm,"24 Temmuz çarşamba tarihinde Mutlu Mega 70 paketimdeki internetin bitmesi sonucu saat 16:33'te hattımda bulunan 159.1 TL, internet veri harcaması sonucu herhangi bir haber vermeden, telefonuma paketin bittiğine dair mesaj gönderilmeden iznim dışında kullandırılmıştır. Bilgi mesajı ise telefonuma 18:12 de gelmiştir. Daha fazla mağduriyet yaşamamak için hattımı yine 24 Temmuz tarihinde faturalıya çevirdim. Turkcell'e konuyla ilgili defalarca talep yazıp telefon açmama rağmen hiçbir şey yapılmadı. Hattımdan çekilen bu tutarın iadesini istiyorum"
Turkcell İnternetin Çabuk Bitmesi,Turkcell internet hemen bitiyor. Yurt dışında kullandığım 17 GB'nin sadece 10 GB'si yetiyor ama Turkcell'de olan 30 GB 10 gün gitmiyor ve yurt dışındaki internet paketleri Türkiye'ye kıyasla çok ucuz. Turkcell'in bu durumu kabul edilemez. Devlet de böyle durumlara göz yumuyor. Ne zaman bir babayiğit çıkacak ve dur diyecek!
Turkcell Paket Yükleme İptali,"Turkcell paket yüklemek istedim. Turkcell mobil uygulamasından girdim, 580 TL'lik bir internet paketi seçtim. Banka mesaj gönderdi, şifreyi girdim, para çekildi ancak hesapta paket gelmedi. İkinci kez aynı paketi tekrar yükledim. Turkcell, 580 TL borçlusun diyor. Bana hizmet sıfır. Bu Turkcell müdürü, amiri, şefi kim varsa bunlar ne iş yapar? Beni müşteri temsilcisi aramasın, müdür, amir, şef bunlar beni arasın, paramı iade etsin. Gerekenleri söyleyeyim."
Turkcell Geçişte Paket İptali,21. Yüzyıldayız ama internet şebekesi yok İnternete giremiyorum. Madem İnternete giremeyeceğim neden bir pakete 760 lira ödüyorum? Müşteri hizmetlerini aradım müşteri temsilcisine bağlamadan defalarca yüzüme kapatıldı telefon. Ben girdiğim her yerde wi-fi bağlantısı aramak zorunda mıyım? Niye telefon interneti var biz ayrı internete para ödeyeceksek. Hem para ödüyoruz hem de hizmet yok hattımı başka operatöre taşıyacağım 10 yıldır Turkcell kullanmanın cezası bu herhalde.
Turkcell İnternet Paketimin Durduk Yere Bitmesi,"İnternet çok yiyor, özellikle görüntülü konuşmada. 1 saat görüntülü konuşma 2 GB internet yiyor, bunu düzeltmek lazım. 2 günde 20 GB internet yemişim, bu saçmalık nedir böyle? Özellikle ek internet alırsanız su gibi içiyor. Çekim gücü iyi diye millet alıyor da, siz hem faturaları şişirdiniz hem de çok harcanıyor."
Turkcell İnternetimi Harcamadığım Halde Harcadım Gösteriyor,"Turkcell yıllık paket kullanıyordum. Paketim de bitmek üzereydi, paketleri kontrol edeyim dedim. Aylık 240 TL'ye 15 GB paket vardı mevcut internetim bitince onu almayı düşünüyordum. Bugün internet paketim bitti. Yeni paket alma yerine girdim 15 GB bana özel 350 TL olmuş."
Turkcell İnternet Çekmiyor Kullanamıyorum,Çekmeköy Cumhuriyet Mahallesi aluç sokakta oturuyorum hiçbir şekilde ne İnternete girebiliyorum ne de telefonla konuşabiliyoruz bir sorunun giderilmesini istiyorum. Bu durumdan dolayı eve internet bile bağlatamıyoruz. Sene olmuş 2024 çok şaşkınız bu durumdan dolayı
Turkcell Paket Aşımı Orantısız Para Kesintisi,"0535******95 numaralı Turkcell data hattımı aylık 329. Tl bedelle kullanmakta iken sözleşmede hakkımız var denilerek 824 TL'ye yükseltilmiş. Ayrıca yeni fiyat üzerinden geriye doğru hesap işletilip, abonelikten ayrılırsam tahakkuk edecek yeni tarife üzerinden ücret ödeyeceğim bilgisi verilmiştir. Mevcut sözleşmelere dayanarak yüzde yüzden fazla zam yapma hakları var mıdır? Bu bahane ile anında hattım bir haftalık süre olmasına rağmen anında iptal edilmiş bir haftalık süreç beklenmedi"
Turkcell Fazla İnternet Tüketiyor,"Turkcell, Platinum Aynen Favorim 60 isimli, 30 GB sosyal medya, 30 GB devreden özelliği olan her yöne internet paketi kullanıyorum. Haziran ayı içinde geçiş yaptım. İlk ay her yöne 30 GB hediye ile birlikte toplamda 90 GB internetim vardı. Bununla birlikte her çarşamba günü Salla Kazan kampanyasından bazen her yöne bazen kısıtlı internet kazandığım oluyordu. Temmuz faturası kesildiğinde yaklaşık 26-27 GB internetim sonraki döneme devretmesi gerekirken tamamen silindi. Müşteri temsilcisi ile yaptığım görüşmede temmuz ayı içerisinde 72 GB internet kullandığım bilgisi verildi. Bunu içinde Salla Kazan kampanyasından kazandığım internet de mevcut. Öyle olmasa bile en az 18 GB internetim devretmesi gerekirdi. Ayrıca fatura detaylarını incelediğimde, temmuz ayı içinde devreden paketinden sadece 1,2 GB kadar bir kısım kullandığım görünmekte. Ancak kaybolan internete herhangi bir yanıt, çözüm veya açıklama yapılamıyor. Aldığım tek cevap; ""internetiniz silinmiş"" oluyor. Şimdi Turkcell'den adına yakışır bir açıklama ve telafi bekliyorum."
Turkcell İn Bilgi Dışı Faturaya Yansıttığı İşlemler,"Turkcell'den 40+45 GB faturalı internet paketi kullanmaktayım. Faturalı hattım her ayın 25'inde yenilenmektedir. Faturalar hattımın yenilendiği gece uyuyor olmama ve telefonum otomatik güncellemeye kapalı olmasına rağmen (bahane üretmemeniz için şimdiden söylemek istedim); 25 Temmuz gece 02.44'de 1 dakika içerisinde 6 GB 491 MB, 02.49'da 275 MB, 04.39'da 1 dakika içerisinde 19 GB 305 MB, 05.41'de 1 dakika içerisinde 13 GB 393 MB, 06.57'de 5 GB 470 MB internet harcaması yapmışım. Harcamaların 1 dakika içerisinde olduğunu müşteri hizmetlerini arayarak teyit ettim. Bu kadar hızlı hizmet verdiğinizi gerçekten ilk defa görüyorum. Normalde 5 MB videoyu 1 dakikada zor açıyoruz. Doğru olmayan bilgiler ile internetim sıfırlanmıştır. Bu internet harcamasının yapıldığı sıralarda kaçıncı uykumda olduğumu ve telefonumun ekranı kilitli, uygulamaları kapalı ve şarjda olduğuna eminim. Konunun ivedilikle incelenip, kullanımı olmadığı halde kullanmış gibi beyan ederek sıfırladığınız internetin tarafıma geri iadesini ve aşım bedeli olarak aldığınız ücretin iadesini talep ederim. İşlemlerin tamamı bana ait olmadan yapılmış ya da tarafınızdan yapılmış gibi gösterilmektedir. Telefonuma bugüne kadar 1 kere bile TikTok yüklememiş olmama rağmen TikTok ile bile harcama mevcuttur. Sabah interneti hiç kullanamadığım için sizi aradığımda ağ ayarlarımı sıfırladınız ve sonrasında internet çalışmaya başladı. İşlemlerinizi incelemenizi aciliyetle rica ediyorum. Harcama görüntüleri ektedir. Harcamanın tarafımca yapıldığını beyan ediyorsanız hangi uygulamadan kaç dakika içerisinde yapıldığını beyan etmenizi rica ederim. Mahkemeye başvurmak için bu belgelere ihtiyacım var. İnsanların cebinden parasını almak bu kadar kolay olmamalı."
Turkcell İn Haksız Yurt Dışı Paket Uygulaması,"Turkcell İletişim Hizmetleri a. Ş. Tarafından sunulan GSM hizmetlerinden yararlanmaktayım. Ancak, son dönemde yaşadığım haksız bir uygulamadan ötürü bu şikayeti yazma gereği duydum."
Turkcell Geçişte Paket İptali,"Turkcell yaklaşık 1 haftadır paket yükleyemiyorum (hata şu anda işlemimizi gerçekleştiremiyoruz uyarısı veriyor). Üstelik paketler aşırı pahalı ve Salla Kazan'dan sürekli aynı hediye olan günlük 1 GB Youtube.com çıkıyor. Kendi paramızla dahi zor durumda bırakan bir kurum, para vererek dahi internet kullanamıyoruz ve internet anlamsız yere çok çabuk bitiyor, adeta eriyip gidiyor."
Turkcell'E Geçtim Çok Pişman Oldum,Turkcell 26 GB paketim bir anda bitti. Belirli saatler içerisinde 8 GB internet kullandığım yazıyor ama 8 GB interneti bitirmek için 2-3 film indirmem lazım. Böyle böyle 26 GB internetim bir saat içinde bitti. Turkcell müşteri hizmetlerini aramama rağmen sorunun telefon güncellemelerinden olabileceğini söylediler. İPhone 11 marka telefon kullanmaktayım. Telefon sisteminin güncellemesi bile 3-4 GB olduğunu söyledim ancak yardımcı olmadılar. 20 yıllık Turkcell müşterisi olarak demek ki artık başka hatta geçiş zamanı gelmiştir
Turkcell Hız Kısıtı Sorunu,"Turkcell otomatik ödeme talimatı verdiğimde haftalık 2 GB hediye edilen bir kampanya olduğunu fark ettim. Otomatik ödeme talimatını verdim, üzerinden bir süre geçti ancak haftalık 2 GB hediye internetim hala tanımlanmadı. Gereğinin yapılmasını arzularım."
Turkcell Durduk Yere Aşım Yazıyor,"Turkcell internetimi sosyal medyada kullanamıyorum. Aradım, bizde bir sıkıntı görünmüyor, tekrar bir bakım dedi. Telefonu kapatıp açın dediler. Hiçbir değişiklik olmadı. O kadar parayı boşuna mı veriyorum? Bir de yeni aldım yani, ben bir şey anlamadım. Bugün tekrar arayacağım. Bir değişiklik olmazsa iptal ettireceğim hattı. Ne yapayım, kullanamadıktan sonra?"
Turkcell'de Sürekli Yaşanan İnternet Sorunu,Turkcell Sürpriz Ekstra 70 GB paketi kullanmaktayım. Bunun 40 GB'ı sosyal medya fakat ne hikmetse sosyal medya paketinde azalma olmazken diğer 30 GB'dan gitmektedir. Ayrıca yeni bir yapılanma söz konusu mudur? İnternet su gibi gidiyor. Ne yapılmaya çalışılıyor Turkcell tarafından? İnceleme yapılsın bakalım nasıl bir sonuç elde edeceğiz. Umarım hazır cevaplar ile tarafıma yardımcı olmaya çalışmazsınız!
Turkcell Hotspot Paketi Mobil Paketten İnternet Düşüyor,Turkcell den Hotspot paketi aldım çocukların tablette kullanması için. Ama hotspot internetini kullanırken aldığım ek paketin yanında benim mobil internetimi de kullanıyor. Müşteri temsilcisi arka plan uygulamalarının yediğini iddia ediyor ama telefon ayrıntılı olarak gösteriyor.
Turkcell Silinen İnternet Paketimi Geri İstiyorum,"Veri işleme izni verince hediye 2GB internet geleceği söyleniyordu. Ben de veri işleme izni verdim ama hala 2GB hediye internetimi alamadım ve bunu birkaç kez denememe rağmen talebiniz alındı dedi. Birkaç gündür aynı ama hala internet gelmedi, birçok kez denememe rağmen."
Turkcell İnternet Paketleri Sorunu,Turkcell den Hotspot paketi aldım bilgisayarımda kullanmak için. Ama bilgisayarımda interneti kullanırken aldığım ek paketin yanında benim mobil internetimi de kullanıyor. Müşteri temsilcisi arka plan uygulamalarının yediğini iddia ediyor ama telefon ayrıntılı olarak gösteriyor. Paket daha bugün yaptım 1 GB a yakın mobil kullanmışım bağlantı noktasından harcanan hotspot paketinden düşeceğine aynı zamanda mobilden de düştü.
Turkcell Hotspot Paketinin İptali,Merhaba. Ben daha önce de şikayette bulundum Ama herhangi bir dönüş yapılmadı müşteri hizmetleri tarafından. Ben faturalı hat kullanıyorum ve kaç yıldır. Çok yüksek tarifeler çıkıyor faturalar çok yüksek geliyor. Şikayet etmeme rağmen hiçbir dönüş yapılamadı. Müşteriye olan saygınız bu mu.
Turkcell İnternete Bağlanamıyorum 2 Gündür Sorunum Devam Ediyor,"Hattım kapandı, sonrasında faturayı ödememe rağmen interneti kullanamıyorum. Arama yapabiliyorum ama interneti 3 gündür kullanamıyorum. Turkcell'i aradım, altyapıda bir sorun gözükmüyor dedi ama interneti kullanamıyorum. 11 GB internetim var gözüküyor ama kullanamıyorum."
Turkcell Faturalı İnternet Paketinde Anormal Kullanım Ve Hatalı Fatura,"Turkcell, 3 günde hiçbir şey izlemememe rağmen 14 GB internet tükettiğim görünüyor. X'e giriyorum, arada Instagram, başka hiçbir şey yok. Nasıl bu kadar hızlı paketin GB'ları bitiyor, aklım almıyor. Avrupa'ya göre paketleri çabuk bitiriyorlar diyorlardı, Turkcell'de demek ki doğruymuş. Neyse ki taahhüdüm bitiyor, başka hatta geçerim. Bu ne böyle."
Turkcell Hotspot Paketi Mobil Paketten İnternet Düşüyor,İnternetim anormal bir şekilde hızlı bitiyor 4 dakika içerisinde 1 GB internetim bitti. Telefonumun arkasında hiçbir uygulama açık değildir. Bu yüzden çok yüksek fatura ödemek zorunda kalıyorum ve internetimi kullanamıyorum. Bu sorunu iki defa oldu yaşıyorum
Turkcell Hotspot Paketinin İptali,"Turkcell'in internet paketini benim onayım dışında, internet paketim bittiği için uygulamaya sokmasından ve bunu mesajla paketin bittiği dışında ekstra ücret ödemem gerektiği hakkında bilgi vermemelerinden şikayetçiyim."
Turkcell Mobil İnternet Sorunum,Bugün Turkcell hattımdan indirdiğim programdan Salla Kazan ile haftalık 2 GB Youtube.com internet kazandım fakat aktif değil pasif konumda olduğu için kullanamıyorum. Daha önce yine aynı duruma düştüğümde müşteri hizmetlerini aradığımda geçiştirmek için alakasız ifadeler kullandı. Aktif veriyormuş gibi yapıp pasif halde sunuyorsunuz. Aklımızla alay ediliyor. Ayıp...
Turkcell Hattım Şehir Merkezinde Çekmiyor,Turkcell hatlı telefonun tarifesi fiyatları insanlar mağdur etmektedir insanlar bu kadar... Fahiş fiyatlar uyguluyorsunuz bu hatlar bu kadar zam yapmaması gerekli şu zor günlerde elinizden geldiği kadarıyla millete... Çalışıyorsunuz
Turkcell İnternet Şebekesi Yok Çekmiyor,Turkcell 5 GB hotspot paketi aldım. Farklı cihazdan bağlanmama rağmen kendi internetim den gidiyor 800 MB lik kısmını kullanabildim kendi telefonumdan girmiyorum farklı cihazdan bağlanıp giriyorum hala kendi paketim bitiyor madem böyle bir şey oluyor niye var bu paket? Müşteri hizmetleri de sıkıntı yok diyor. Ben böyle saçma bir şey görmedim.
Turkcell Hot Spot Paketi Yerine Kendi Paketimden Harcatıyor,"Yıllardır Turkcell kullanıyoruz. Her 2 yılda bir aynı sorunu yaşıyoruz. Fatura durdurma özelliği, akıllı fatura diye bir şey var; her 2 yılda bir operatör bize sormadan bu özelliğin aktifliğini ortadan kaldırıyor. Telefonu çocuğumuza verdiğimizde en azından internet paketi bittiğinde aşım yapmayacağını düşünüyoruz, lakin maalesef yine kimin iptal ettiği, bilgi verilip verilmediği belli değil ve bu özellik iptal olmuş. Oğlum telefonumdan tam 6 kez bunu aşmış. Kim iptal etti diyorum, cevap yok, inceliyoruz diyorlar. Yahu 80 TL'den 1 GB alacağıma 10 GB ya da 15 GB alırım, bu kadar tutmaz. Neden bizleri mağdur ediyorsunuz, anlamadım. Ayrıca kontrol etmek ve arada bir Turkcell'ime giriyorum, o da bozuk, hata veriyor. Biz ne yapalım? Fatura çıkmadan 5 gün önce iyice bozuldu Turkcell."
Turkcell 13gb İnternetim Bir Anda Bitti Ücretli Ek Tarife Tanımladı!,"Sayın Turkcell yetkilileri, eski müşterilerini mağdur etmektedir. Bana sunulan tarife ile yeni gelen hat taşıyan müşterilere sunulan tarifeler arasında büyük fark vardır. Ayrıca internet paketi anında bitmektedir, bunun sebebini de bir türlü anlamadım. Mevcut müşteri olmanın cezasını çekiyorum, ilk fırsatta başka bir operatöre taşıyacağım numaramı."
Turkcell Yurtiçi Data Kullanım Bilgisayar Adı Altında Paramı Kesiyor,Turkcell Platinum Star 30 GB kullanıyorum. Yıllardır Turkcell müşterisiyim her türlü fatura sorunları çağrı merkezi hatalı bilgilendirmesi yaşadığım halde Turkcell tarafından maalesef daha iyi bir operatör olmadığı için yine Turkcell kullanmaya devam etmek durumunda kalıyorum. Sadece sorum şu 30GB internet evde internetim var işte internetim var ve o Wi-Fi kullanıyorum 30 günde hatta 30 günden önce internet paketi nasıl bitebilir? Ne kadar kullanabilirim. 30 GB dan bahsediyoruz. Yani gerçekten ayıptır. Yazıklar olsun verdiğim paralara!
Turkcell İnternet Paketiniz Bitti İle Paketin Esnemesi Uyarısı Zamansız Geliyor,Turkcell operatörü kullanıyorum ve bu ay içinde kullandığım internet paketim çok hızlı bitti. Telefonun ekranını kapattığım zaman veriyi kapattığım halde 15 GB internet sanki 1 GB gibi 10 gün içinde neredeyse yok oldu. Dün gece yaklaşık 1 GB internetim varken veriyi kapattım ve interneti kapattıktan yaklaşık 50-55 dakika sonra internetimin bittiği mesajını aldım. Bir açıklama bekliyorum.
Turkcell İnternet Çok Çabuk Bitiyor,"Turkcell internet paketi anlamadığım bir şekilde su gibi gidiyor. Hayır, bir şey yapmış olsam üzülmezdim ama gerçekten bu zamanda hem internetsiz kalmak hem de internetin bu kadar hızlı bitmesi çok saçma geliyor. Bana şebeke çeksin diye Vodafone'dan Turkcell'e taşındım, bu sefer de internet kalmadı. Çok komik gerçekten."
Turkcell Mobil Erişim Sıkıntısı,"532 numaralı Turkcell müşteri hizmetleri çağrıyı bildiğiniz yüzüme kapattı tek bir şey söylemeden. Hem verilerimizden çalıp hem de böyle muamele görmek, paramızla rezil oluyoruz. İlk müsait zamanda en yakın Turkcell şubesine gidip bir güzel ağzınızın payını vereceğim. Hiç merak etmeyin"
Turkcell'in Bilgi Vermeden Yıllık Abone Yapması Ve İnterneti Kesmesi.,Bu Turkcell'in internet paketleri nasıl hesaplanıyor? 20 GB bitti. Üstüne 4 defa daha 3 GB'lik ek paket aldım. 3 gün gitmedi. Tam bir haksızlık. Az kaldı kontrat bitiyor. Sizde biteceksiniz. Faturam 600 lirayı geçti. Bakanlık bu işe bir el atmalı. En kısa zamanda.
Turkcell'li Olmamama Rağmen Adıma Güvenli Aile Paketi Tanımlanması,17 Haziran 2024 tarihinde Turkcell aş'den kredi kartından aldığım ek internet paketi hemen sonrasında iptal etmiş olmama ve bu hizmet hiç tanımlanmamış olarak gözükmesine rağmen kredi kartımdan çekilen 270 TL kartıma iade edilmedi. Sonrasında d*****@eplatform.com adresine mail atmama ve Turkcell müşteri hizmetleri defalarca konuşmama rağmen bir sonuç alamadım. 270 Tl'nin iadesini talep ediyorum
Turkcell İnternetinizi Durduk Yere Bitirebilir.,Turkcell habersiz bir şekilde hattıma İnternet Aşımı adı altında 1GB internet paketi sunmuş ve ben bunu kullanmıyorum ödemekte istemiyorum bu yaptığınız resmen tüketiciyi yanıltmaktır. Kesilen ücretin iadesini ve paketin kaldırılmasını talep ediyorum. Gerekirse konuyu Tüketici Hakem Heyeti'ne ve CİMER'e taşıyacağımdan kuşkunuz olmasın.
Turkcell Hediye İnternet Verilmemesi,"Turkcell firması üzerinden 19.07.2024 tarihinde saat 18.43'te paketimin kalan kullanımı ile ilgili bilgilendirme mesajı aldım ve kalan internetim 5324 MB'dır. Fakat akabinde aynı gün saat 19.08'de ise paketimin bittiğine dair bilgilendirme mesajı aldım. Türkiye'de 25 dakika içerisinde 5 GB'ı aşkın bir internet kullanımı mümkün olmamakla birlikte, bu zaman zarfında araç kullanıyordum. Nasıl oluyor da 25 dakika içerisinde 5 GB internetim bitiyor? Ve bu durumu öğrenmek için müşteri hizmetlerinizi aradığımda bana anlamsız şeyler anlatıp sorularımı dahi cevaplayamadılar. Artık farklı bir şekilde müşterinin internetlerini erken bitirme metoduna mı gittiniz merak ediyorum ve zararımın tazminini talep ediyorum ki sosyal medyadan da aynı videoyu aynı kalitede izlemesine rağmen kişilerin kullandığı internetin farklı tüketildiğine dair bilgileri gördük. Acilen tarafımla iletişime geçin ve bu durumu düzeltin. Gerekli bilgilendirme mesajlarına ait görselleri de herkesin görmesi için buraya bırakıyorum."
Turkcell'in Voip Mağduriyeti,Sabah kalktığımda Turkcell'den internet paketiniz bitti diye mesaj geldi. Gece 9gb internetim olmasına ve telefonu bile elime almamama rağmen sabah kendi kendine bitti ve bu ilk defa olan bir olay da değil Turkcell sürekli aynı şeyi yapıyor kendi kafasına göre internetimi bitiriyor. Aradım ve kullanımlarımı öğrenmek istediğimi söyledim. Bana 06.57'de 5gb 05.30da 3gb internet kullanımı gözüküyor dedi. Ben uyurken nasıl böyle bir şeyin mümkün olduğunu sorunca da saçma sapan cevaplar vermeye başladılar. Gerçekten büyük saçmalık. Turkcell pişmanlıktır. Cayma bedelini ödeyip başka operatöre geçeceğim.
Turkcell Hatalı Data Kullanım Ekstresi,22 Temmuz tarihinde yaptığım hediye İnterneti hız kısıtından dolayı kullanamıyorum. Yeni paket yüklemem gerektiği yazıyor ama zaten yüklemiş olduğum paketin hâlâ zamanı var ve daha yeni tükendi. Sorunun çözülmesini talep ediyorum en kısa zamanda yardımcı olursanız sevinirim.
Turkcell Hızlı Biten İnternet Paketi,"Turkcell faturalı hattım var. Son 6 aylık süreçte internet paketim çok hızlı bitmekte, benimle kesinlikle alakası yoktur. Son ödediğim fatura hariç ama bunun dışında olağandışı bir durum var. İnternet paketim aynı, daha ortasına gelmeden bitmekte ve sürekli yeni ek paket almak zorunda bırakılmaktayım. Çözüm istiyorum ve şikayet ediyorum."
Turkcell İnternet Hattıma Yüklenmedi.,"Turkcell otomatik ödeme talimatı verdiğimde haftalık 2 GB hediye edilen bir kampanya olduğunu fark ettim. Otomatik ödeme talimatını verdim, üzerinden bir süre geçti ancak haftalık 2 GB hediyesi hattıma tanımlanmadı. Vermeyecekseniz neden hediye kampanyamız var dersiniz ki?"
Turkcell İnternet Anormal Bir Şekilde Hızlı Bitiyor,5 gün içerisinde 30 GB interneti harcayan bir sistem var. Böyle bir şey olması mümkün değil. Arka planda güncelleme de yapmıyor olmama rağmen bir günde 30 GB internet harcıyor. Bir film izlemek ile 30 GB internet harcanması mümkün değil. Turkcell AP açık şekilde faturayı otomatik yükseltiyor.
Turkcell İnternet Paketim İle İlgili Rahatsızlık,"Turkcell hattına geçiş yaptığımdan beri doğru düzgün bir internet hediyesi alamadım. Tamı tamına 9 haftadır sadece belli platformlarda geçerli olan internet veriliyor. İhtiyacımı karşılamıyor, bunların telafisini rica ediyorum. Sorunun hemen giderilmesini talep ediyorum."
Turkcell Bir Anda 12 GB'lık İnternet Kullanımı,Turkcell hattımda 15gb İnternet ve 20gb sosyal medya paketi mevcut. Fakat Youtube.com ve Instagram kullanımlarımda sosyal medya paketi yerine normal İnternet paketinden gidiyor. Resmen İnternet paketinde oynama yapılıyor. Müşteri hizmetlerine ulaşıp sorunu anlatmak için bir milyon haneli sabır lazım. İlk kullanım ile son kullanımlarda baktığınızda kullanılan İnternet miktarından herkes kolayca bun teyit edebilir.
